Name,Finder URL,Type,Investment Stage,Investments,IL investments in past 2Y,Managed Assets,Investment Range
"Hercules Capital, Inc.",="https://finder.startupnationcentral.org/investor_page/hercules-capital-inc",="VC and Private Equity",="",="5",="1",="",="Undisclosed",
="Heritage Group",="https://finder.startupnationcentral.org/investor_page/heritage-group",="VC and Private Equity",="",="5",="0",="",="Undisclosed",
="Heroic Ventures",="https://finder.startupnationcentral.org/investor_page/heroic-ventures",="VC and Private Equity",="",="5",="0",="",="Undisclosed",
="Hestia Venture Partners",="https://finder.startupnationcentral.org/investor_page/-hestia-venture-partners",="VC and Private Equity",="",="1",="1",="",="Undisclosed",
="Heznek Fund",="https://finder.startupnationcentral.org/investor_page/heznek-fund",="VC and Private Equity",="",="1",="0",="",="Undisclosed",
="HFZ Capital Group",="https://finder.startupnationcentral.org/investor_page/hfz-capital-group",="VC and Private Equity",="",="1",="0",="",="Undisclosed",
="HGL Capital",="https://finder.startupnationcentral.org/investor_page/hgl-capital",="VC and Private Equity",="",="1",="0",="",="Undisclosed",
="HI.I.G. Capital",="https://finder.startupnationcentral.org/investor_page/hi-i-g-capital",="VC and Private Equity",="",="1",="0",="",="Undisclosed",
="HICO Investment Group",="https://finder.startupnationcentral.org/investor_page/hico-investment-group",="VC and Private Equity",="",="1",="0",="",="Undisclosed",
="Hidary Group",="https://finder.startupnationcentral.org/investor_page/hidary-group",="VC and Private Equity",="",="1",="0",="",="Undisclosed",
="High House Investments",="https://finder.startupnationcentral.org/investor_page/high-house-investments",="VC and Private Equity",="",="2",="0",="",="Undisclosed",
="High Tech Grnderfonds",="https://finder.startupnationcentral.org/investor_page/high-tech-grnderfonds",="VC and Private Equity",="",="2",="0",="",="Undisclosed",
="High Tech Ventures",="https://finder.startupnationcentral.org/investor_page/high-tech-ventures",="VC and Private Equity",="",="1",="0",="",="Undisclosed",
="HighCape Partners",="https://finder.startupnationcentral.org/investor_page/highcape-partners",="VC and Private Equity",="",="2",="0",="",="Undisclosed",
="HighGround Tairun Investment",="https://finder.startupnationcentral.org/investor_page/highground-tairun-investment",="VC and Private Equity",="",="1",="0",="",="Undisclosed",
="Highland Europe",="https://finder.startupnationcentral.org/investor_page/highland-europe",="VC and Private Equity",="",="4",="1",="",="Undisclosed",
="Highline Capital",="https://finder.startupnationcentral.org/investor_page/highline-capital",="VC and Private Equity",="",="1",="1",="",="Undisclosed",
="HighSage Ventures",="https://finder.startupnationcentral.org/investor_page/highsage-ventures",="VC and Private Equity",="",="4",="2",="",="Undisclosed",
="Hike Ventures",="https://finder.startupnationcentral.org/investor_page/hike-ventures",="VC and Private Equity",="",="1",="0",="",="Undisclosed",
="Hill-Rom",="https://finder.startupnationcentral.org/investor_page/hill-rom",="VC and Private Equity",="",="1",="0",="",="Undisclosed",
="Hinge Capital",="https://finder.startupnationcentral.org/investor_page/hinge-capital",="VC and Private Equity",="",="1",="0",="",="Undisclosed",
="Hiro Capital",="https://finder.startupnationcentral.org/investor_page/hiro-capital",="VC and Private Equity",="",="1",="0",="",="Undisclosed",
