Name,Finder URL,Type,Investment Stage,Investments,IL investments in past 2Y,Managed Assets,Investment Range
="LRVHealth",="https://finder.startupnationcentral.org/investor_page/lrvhealth",="VC and Private Equity",="",="1",="1",="",="Undisclosed",
="LSP BioVentures",="https://finder.startupnationcentral.org/investor_page/lsp-bioventures",="VC and Private Equity",="",="1",="0",="",="Undisclosed",
="LTS Investments",="https://finder.startupnationcentral.org/investor_page/lts-investments",="VC and Private Equity",="",="1",="0",="",="Undisclosed",
="Lucas Venture Group",="https://finder.startupnationcentral.org/investor_page/lucas-venture-group",="VC and Private Equity",="",="2",="0",="",="Undisclosed",
="Lucerne Investment Partner",="https://finder.startupnationcentral.org/investor_page/lucerne-investment-partner",="VC and Private Equity",="",="1",="1",="",="Undisclosed",
="Ludlow Ventures",="https://finder.startupnationcentral.org/investor_page/ludlow-ventures",="VC and Private Equity",="",="1",="0",="",="Undisclosed",
="Lumia Capital",="https://finder.startupnationcentral.org/investor_page/lumia-capital",="VC and Private Equity",="",="1",="0",="",="Undisclosed",
="Luminari Capital",="https://finder.startupnationcentral.org/investor_page/luminari-capital",="VC and Private Equity",="",="1",="0",="",="Undisclosed",
="Lundbeckfonden Ventures",="https://finder.startupnationcentral.org/investor_page/lundbeckfonden-ventures",="VC and Private Equity",="",="2",="0",="",="Undisclosed",
="Lutetia Capital",="https://finder.startupnationcentral.org/investor_page/lutetia-capital",="VC and Private Equity",="",="1",="0",="",="Undisclosed",
="Luxor Capital",="https://finder.startupnationcentral.org/investor_page/luxor-capital",="VC and Private Equity",="",="2",="0",="",="Undisclosed",
="LVMHL Luxury Ventures",="https://finder.startupnationcentral.org/investor_page/lvmhl-luxury-ventures",="VC and Private Equity",="",="1",="0",="",="Undisclosed",
="LYFE Capital",="https://finder.startupnationcentral.org/investor_page/lyfe-capital",="VC and Private Equity",="",="1",="0",="",="Undisclosed",
="Lynrock Lake Master Fund LP",="https://finder.startupnationcentral.org/investor_page/lynrock-lake-master-fund-lp",="VC and Private Equity",="",="1",="0",="",="Undisclosed",
="Lyrik Ventures",="https://finder.startupnationcentral.org/investor_page/lyrik-ventures",="VC and Private Equity",="",="1",="1",="",="Undisclosed",
="Lytica Ventures",="https://finder.startupnationcentral.org/investor_page/lytica-ventures",="VC and Private Equity",="",="1",="0",="",="Undisclosed",
="M/C Partners",="https://finder.startupnationcentral.org/investor_page/m-c-partners",="VC and Private Equity",="",="2",="0",="",="Undisclosed",
="M&S Partners",="https://finder.startupnationcentral.org/investor_page/m-s-partners",="VC and Private Equity",="",="1",="0",="",="Undisclosed",
="M6 Ventures",="https://finder.startupnationcentral.org/investor_page/m6-ventures",="VC and Private Equity",="",="1",="0",="",="Undisclosed",
="MAC Fund",="https://finder.startupnationcentral.org/investor_page/mac-fund",="VC and Private Equity",="",="1",="0",="",="Undisclosed",
